3 | 7 | pao_frances | coccao_de_paes_de_massa_crocante | Forno 2 | 17:37 | 17:57
3 | 6 | pao_frances | corte_de_pestana_para_paes_de_massa_crocante | Bancada 3 | 17:33 | 17:37
3 | 5 | pao_frances | fermentacao_biologica_de_paes_de_massa_crocante | Armário Fermentador 1 | 14:33 | 17:33
3 | 4 | pao_frances | preparo_de_massas_crocantes_para_fermentacao | Bancada 2 | 14:30 | 14:33
3 | 3 | pao_frances | modelagem_de_paes_de_massa_crocante | Bancada 1 | 14:26 | 14:30
3 | 3 | pao_frances | modelagem_de_paes_de_massa_crocante | Modeladora de Pães 1 | 14:22 | 14:26
3 | 2 | pao_frances | divisao_de_massas_crocantes | Bancada 1 | 14:14 | 14:18
3 | 2 | pao_frances | divisao_de_massas_crocantes | Divisoras de Massas 1 | 14:10 | 14:14
3 | 1 | pao_frances | pesagem_de_massas_crocantes | Bancada 1 | 14:07 | 14:10
3 | 1 | pao_frances | pesagem_de_massas_crocantes | Balança Digital 1 | 14:04 | 14:07
3 | 1 | massa_crocante | mistura_de_massas_crocantes | Masseira 2 | 13:54 | 14:01
3 | 8 | pao_frances | retirada_de_paes_de_massa_crocante_da_coccao | Armário Fermentador 3 | 17:57 | 18:00
3 | 7 | pao_frances | coccao_de_paes_de_massa_crocante | Forno 2 | 17:37 | 17:57
3 | 6 | pao_frances | corte_de_pestana_para_paes_de_massa_crocante | Bancada 3 | 17:33 | 17:37
3 | 5 | pao_frances | fermentacao_biologica_de_paes_de_massa_crocante | Armário Fermentador 1 | 14:33 | 17:33
3 | 4 | pao_frances | preparo_de_massas_crocantes_para_fermentacao | Bancada 2 | 14:30 | 14:33
3 | 3 | pao_frances | modelagem_de_paes_de_massa_crocante | Bancada 1 | 14:26 | 14:30
3 | 3 | pao_frances | modelagem_de_paes_de_massa_crocante | Modeladora de Pães 1 | 14:22 | 14:26
3 | 2 | pao_frances | divisao_de_massas_crocantes | Bancada 1 | 14:14 | 14:18
3 | 2 | pao_frances | divisao_de_massas_crocantes | Divisoras de Massas 1 | 14:10 | 14:14
3 | 1 | pao_frances | pesagem_de_massas_crocantes | Bancada 1 | 14:07 | 14:10
3 | 1 | pao_frances | pesagem_de_massas_crocantes | Balança Digital 1 | 14:04 | 14:07
3 | 1 | massa_crocante | mistura_de_massas_crocantes | Masseira 2 | 13:54 | 14:01
3 | 8 | pao_frances | retirada_de_paes_de_massa_crocante_da_coccao | Armário Fermentador 3 | 17:57 | 18:00 
3 | 7 | pao_frances | coccao_de_paes_de_massa_crocante | Forno 2 | 17:37 | 17:57 
3 | 6 | pao_frances | corte_de_pestana_para_paes_de_massa_crocante | Bancada 3 | 17:33 | 17:37 
3 | 5 | pao_frances | fermentacao_biologica_de_paes_de_massa_crocante | Armário Fermentador 1 | 14:33 | 17:33 
3 | 4 | pao_frances | preparo_de_massas_crocantes_para_fermentacao | Bancada 2 | 14:30 | 14:33 
3 | 3 | pao_frances | modelagem_de_paes_de_massa_crocante | Bancada 1 | 14:26 | 14:30 
3 | 3 | pao_frances | modelagem_de_paes_de_massa_crocante | Modeladora de Pães 1 | 14:22 | 14:26 
3 | 2 | pao_frances | divisao_de_massas_crocantes | Bancada 1 | 14:14 | 14:18 
3 | 2 | pao_frances | divisao_de_massas_crocantes | Divisoras de Massas 1 | 14:10 | 14:14 
3 | 1 | pao_frances | pesagem_de_massas_crocantes | Bancada 1 | 14:07 | 14:10 
3 | 1 | pao_frances | pesagem_de_massas_crocantes | Balança Digital 1 | 14:04 | 14:07 
3 | 1 | massa_crocante | mistura_de_massas_crocantes | Masseira 2 | 13:54 | 14:01 
3 | 8 | pao_frances | retirada_de_paes_de_massa_crocante_da_coccao | Armário Fermentador 3 | 17:57 | 18:00 
3 | 7 | pao_frances | coccao_de_paes_de_massa_crocante | Forno 2 | 17:37 | 17:57 
3 | 6 | pao_frances | corte_de_pestana_para_paes_de_massa_crocante | Bancada 3 | 17:33 | 17:37 
3 | 5 | pao_frances | fermentacao_biologica_de_paes_de_massa_crocante | Armário Fermentador 1 | 14:33 | 17:33 
3 | 4 | pao_frances | preparo_de_massas_crocantes_para_fermentacao | Bancada 2 | 14:30 | 14:33 
3 | 3 | pao_frances | modelagem_de_paes_de_massa_crocante | Bancada 1 | 14:26 | 14:30 
3 | 3 | pao_frances | modelagem_de_paes_de_massa_crocante | Modeladora de Pães 1 | 14:22 | 14:26 
3 | 2 | pao_frances | divisao_de_massas_crocantes | Bancada 1 | 14:14 | 14:18 
3 | 2 | pao_frances | divisao_de_massas_crocantes | Divisoras de Massas 1 | 14:10 | 14:14 
3 | 1 | pao_frances | pesagem_de_massas_crocantes | Bancada 1 | 14:07 | 14:10 
3 | 1 | pao_frances | pesagem_de_massas_crocantes | Balança Digital 1 | 14:04 | 14:07 
3 | 1 | massa_crocante | mistura_de_massas_crocantes | Masseira 2 | 13:54 | 14:01 
3 | 8 | pao_frances | retirada_de_paes_de_massa_crocante_da_coccao | Armário Fermentador 3 | 17:57 | 18:00 
3 | 7 | pao_frances | coccao_de_paes_de_massa_crocante | Forno 2 | 17:37 | 17:57 
3 | 6 | pao_frances | corte_de_pestana_para_paes_de_massa_crocante | Bancada 3 | 17:33 | 17:37 
3 | 5 | pao_frances | fermentacao_biologica_de_paes_de_massa_crocante | Armário Fermentador 1 | 14:33 | 17:33 
3 | 4 | pao_frances | preparo_de_massas_crocantes_para_fermentacao | Bancada 2 | 14:30 | 14:33 
3 | 3 | pao_frances | modelagem_de_paes_de_massa_crocante | Bancada 1 | 14:26 | 14:30 
3 | 3 | pao_frances | modelagem_de_paes_de_massa_crocante | Modeladora de Pães 1 | 14:22 | 14:26 
3 | 2 | pao_frances | divisao_de_massas_crocantes | Bancada 1 | 14:14 | 14:18 
3 | 2 | pao_frances | divisao_de_massas_crocantes | Divisoras de Massas 1 | 14:10 | 14:14 
3 | 1 | pao_frances | pesagem_de_massas_crocantes | Bancada 1 | 14:07 | 14:10 
3 | 1 | pao_frances | pesagem_de_massas_crocantes | Balança Digital 1 | 14:04 | 14:07 
3 | 1 | massa_crocante | mistura_de_massas_crocantes | Masseira 2 | 13:54 | 14:01 
3 | 8 | pao_frances | retirada_de_paes_de_massa_crocante_da_coccao | Armário Fermentador 3 | 17:57 | 18:00 
3 | 7 | pao_frances | coccao_de_paes_de_massa_crocante | Forno 2 | 17:37 | 17:57 
3 | 6 | pao_frances | corte_de_pestana_para_paes_de_massa_crocante | Bancada 3 | 17:33 | 17:37 
3 | 5 | pao_frances | fermentacao_biologica_de_paes_de_massa_crocante | Armário Fermentador 1 | 14:33 | 17:33 
3 | 4 | pao_frances | preparo_de_massas_crocantes_para_fermentacao | Bancada 2 | 14:30 | 14:33 
3 | 3 | pao_frances | modelagem_de_paes_de_massa_crocante | Bancada 1 | 14:26 | 14:30 
3 | 3 | pao_frances | modelagem_de_paes_de_massa_crocante | Modeladora de Pães 1 | 14:22 | 14:26 
3 | 2 | pao_frances | divisao_de_massas_crocantes | Bancada 1 | 14:14 | 14:18 
3 | 2 | pao_frances | divisao_de_massas_crocantes | Divisoras de Massas 1 | 14:10 | 14:14 
3 | 1 | pao_frances | pesagem_de_massas_crocantes | Bancada 1 | 14:07 | 14:10 
3 | 1 | pao_frances | pesagem_de_massas_crocantes | Balança Digital 1 | 14:04 | 14:07 
3 | 1 | massa_crocante | mistura_de_massas_crocantes | Masseira 2 | 13:54 | 14:01 
