[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 4 com 25000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 5 com 7000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 6 com 12000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 7 com 24000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 8 com 18000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 9 com 22000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 10 com 12000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 11 com 17000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 12 com 9000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 13 com 25000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 14 com 8000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 15 com 10000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 16 com 13000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 17 com 15000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 18 com 23000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 19 com 5000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 20 com 19000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 21 com 21000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 22 com 17000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 23 com 11000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 24 com 9000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 25 com 13000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 26 com 15000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 27 com 20000g.
[2025-05-27 09:17:47] [SimulacaoArmazenamentoCremeChantilly] [INFO] 🚀 Tentando alocar atividade 28 com 18000g.
